,Player,Salary,
149,Zaza Pachulia,"$5,200,000 ",
150,Victor Oladipo,"$5,192,520 ",
151,Jabari Parker,"$5,152,440 ",
152,Dion Waiters,"$5,138,430 ",
153,D'Angelo Russell,"$5,103,120 ",
154,Darren Collison,"$5,013,559 ",
155,Chris Kaman,"$5,000,000 ",
155,CJ Watson,"$5,000,000 ",
155,Larry Sanders,"$5,000,000 ",
155,Tony Allen,"$5,000,000 ",
155,Chris Andersen,"$5,000,000 ",
155,Marcus Morris,"$5,000,000 ",
155,JR Smith,"$5,000,000 ",
155,Jonas Jerebko,"$5,000,000 ",
163,Timofey Mozgov,"$4,950,000 ",
164,Mike Dunleavy,"$4,837,500 ",
165,Trevor Booker,"$4,775,000 ",
166,Otto Porter,"$4,662,960 ",
167,Jonas Valanciunas,"$4,660,482 ",
168,Joel Embiid,"$4,626,960 ",
169,Anthony Bennett,"$4,597,276 ",
170,Jahlil Okafor,"$4,582,680 ",
171,Raymond Felton,"$4,540,000 ",
172,Alexis Ajinca,"$4,539,607 ",
173,Kyle Singler,"$4,500,000 ",
174,Kris Humphries,"$4,440,000 ",
175,Derrick Williams,"$4,400,000 ",
176,CJ Miles,"$4,394,225 ",
177,Mike Miller,"$4,354,127 ",
178,Jameer Nelson,"$4,345,000 ",
179,Jason Smith,"$4,300,000 ",
179,Mario Chalmers,"$4,300,000 ",
181,Jose Juan Barea,"$4,290,000 ",
182,Jared Dudley,"$4,250,000 ",
183,Damian Lillard,"$4,236,286 ",
184,Cody Zeller,"$4,204,200 ",
185,Aaron Gordon,"$4,171,680 ",
186,Kristaps Porzingis,"$4,131,720 ",
187,Vince Carter,"$4,088,019 ",
188,Devin Harris,"$4,053,446 ",
189,Alan Anderson,"$4,000,000 ",
189,Jordan Hill,"$4,000,000 ",
189,Ian Mahinmi,"$4,000,000 ",
189,Thabo Sefolosha,"$4,000,000 ",
193,Nemanja Bjelica,"$3,950,000 ",
194,Harrison Barnes,"$3,873,398 ",
195,Marreese Speights,"$3,815,500 ",
196,Alex Len,"$3,807,120 ",
197,Dante Exum,"$3,777,720 ",
198,Steve Novak,"$3,758,017 ",
199,Nick Collison,"$3,750,000 ",
199,Kyle O'Quinn,"$3,750,000 ",
201,Mario Hezonja,"$3,741,480 ",
202,Terrence Ross,"$3,553,917 ",
203,Lavoy Allen,"$3,550,000 ",
204,Matt Barnes,"$3,542,500 ",
205,Will Barton,"$3,533,333 ",
206,Nerlens Noel,"$3,457,800 ",
207,Marcus Smart,"$3,431,040 ",
208,Bojan Bogdanovic,"$3,425,510 ",
208,Evan Turner,"$3,425,510 ",
210,Willie Cauley-Stein,"$3,398,280 ",
211,Quincy Pondexter,"$3,382,023 ",
212,Paul Pierce,"$3,376,000 ",
213,Anthony Morrow,"$3,344,000 ",
